,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
74,2023-07-07 10:29:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,186,186,184.65,185.6,20200,2187850,74
75,2023-07-07 10:30:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,185.35,186.85,184.15,186.3,37700,2187850,75
76,2023-07-07 10:31:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,187.05,187.45,185.15,186.85,24900,2187850,76
77,2023-07-07 10:32:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,187.3,187.7,185.85,187.5,17300,2168650,77
78,2023-07-07 10:33:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,187.05,188,186.4,186.65,26850,2168650,78
79,2023-07-07 10:34:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,186.4,186.4,183.3,183.7,16350,2168650,79
80,2023-07-07 10:35:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,183.7,183.7,180.65,182.6,16250,2154850,80
81,2023-07-07 10:36:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,182.4,187,182.4,187,10100,2154850,81
82,2023-07-07 10:37:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,187.05,187.75,186.45,187.75,15850,2154850,82
83,2023-07-07 10:38:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,187.4,187.4,185,185.5,17750,2154500,83
84,2023-07-07 10:39:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,186.15,186.35,184.5,186.3,12200,2154500,84
85,2023-07-07 10:40:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,186.2,188.85,186.1,188.25,19750,2154500,85
86,2023-07-07 10:41:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,188.4,192.45,188.4,191.75,52550,2148000,86
87,2023-07-07 10:42:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,192.15,192.15,190.4,191.7,23150,2148000,87
88,2023-07-07 10:43:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,192,192,190.45,191.35,25900,2148000,88
89,2023-07-07 10:44:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,191.35,193.7,191.35,193.65,29450,2131000,89
90,2023-07-07 10:45:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,193.9,196,193.9,195.6,42350,2131000,90
91,2023-07-07 10:46:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,196.05,200.85,196.05,200.85,66300,2131000,91
92,2023-07-07 10:47:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,200.45,204.95,200.45,203.25,59550,2108250,92
93,2023-07-07 10:48:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,202.85,207.8,201.05,207.8,57500,2108250,93
94,2023-07-07 10:49:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.55,209.35,206.4,206.4,39200,2108250,94
95,2023-07-07 10:50:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,205.6,205.6,199.9,202.45,39550,2101700,95
96,2023-07-07 10:51:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,202.45,204.5,199.1,201.85,24300,2101700,96
97,2023-07-07 10:52:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,202.05,208.8,200.9,208.8,33900,2101700,97
98,2023-07-07 10:53:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.85,213.6,208.05,211,68950,2079400,98
