"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"11221","OPTCUR","USDINR","OPTION","04-Aug-2023",82,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",154604,1,1000,0.0025,"US Dollars","","","","",0.28,1.195,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.7375,"USDINR"
"11340","OPTCUR","USDINR","OPTION","04-Aug-2023",85.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11126","OPTCUR","USDINR","OPTION","04-Aug-2023",78.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.7725,4.6875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.23,"USDINR"
"11129","OPTCUR","USDINR","OPTION","04-Aug-2023",78.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11226","OPTCUR","USDINR","OPTION","04-Aug-2023",82.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",520916,1,1000,0.0025,"US Dollars","","","","",0.0025,0.08,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"USDINR"
"11134","OPTCUR","USDINR","OPTION","04-Aug-2023",79.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.7725,3.6875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.23,"USDINR"
"11136","OPTCUR","USDINR","OPTION","04-Aug-2023",79.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.5225,3.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.98,"USDINR"
"11264","OPTCUR","USDINR","OPTION","04-Aug-2023",83.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",12619,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"12318","OPTCUR","USDINR","OPTION","04-Aug-2023",87.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.025,"USDINR"
"11138","OPTCUR","USDINR","OPTION","04-Aug-2023",80,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",20,1,1000,0.0025,"US Dollars","","","","",2.2725,3.1875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.73,"USDINR"
"11266","OPTCUR","USDINR","OPTION","04-Aug-2023",83.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",8945,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"12320","OPTCUR","USDINR","OPTION","04-Aug-2023",87.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.02,"USDINR"
"11148","OPTCUR","USDINR","OPTION","04-Aug-2023",81.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1859,1,1000,0.0025,"US Dollars","","","","",1.035,1.95,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4925,"USDINR"
"11322","OPTCUR","USDINR","OPTION","04-Aug-2023",85,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11101","OPTCUR","USDINR","OPTION","04-Aug-2023",77.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",3,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11338","OPTCUR","USDINR","OPTION","04-Aug-2023",85.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11103","OPTCUR","USDINR","OPTION","04-Aug-2023",77.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11151","OPTCUR","USDINR","OPTION","04-Aug-2023",81.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",94845,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"11387","OPTCUR","USDINR","OPTION","04-Aug-2023",86,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11127","OPTCUR","USDINR","OPTION","04-Aug-2023",78.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11224","OPTCUR","USDINR","OPTION","04-Aug-2023",82.25,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",289754,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"11425","OPTCUR","USDINR","OPTION","04-Aug-2023",86.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.07,"USDINR"
"11131","OPTCUR","USDINR","OPTION","04-Aug-2023",79,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"12256","OPTCUR","USDINR","OPTION","04-Aug-2023",86.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0425,"USDINR"
"12366","OPTCUR","USDINR","OPTION","04-Aug-2023",88.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.005,"USDINR"
"1699","OPTCUR","USDINR","OPTION","04-Aug-2023",75.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"10403","OPTCUR","USDINR","OPTION","04-Aug-2023",76,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"7253","OPTCUR","USDINR","OPTION","04-Aug-2023",76.25,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"11087","OPTCUR","USDINR","OPTION","04-Aug-2023",76.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11141","OPTCUR","USDINR","OPTION","04-Aug-2023",80.25,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",102,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11093","OPTCUR","USDINR","OPTION","04-Aug-2023",76.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11143","OPTCUR","USDINR","OPTION","04-Aug-2023",80.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",14,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"11097","OPTCUR","USDINR","OPTION","04-Aug-2023",77,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
