"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11511","CENEXT","EQ","CENTURY EXTRUSIONS LTD",0.01,1,"","",0,1,"INE281A01026",14.6,7.6,15.55,0.65,"","","",0,0,0,12.05,8.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CENTEXT"
"11522","NIIT","EQ","NIIT LIMITED",0.01,1,"","",0,2,"INE161A01038",416.85,79.1,658.65,11.47,"","","",0,0,0,102.6,68.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NIITLTD"
"11526","OPTCIR","BE","OPTO CIRCUITS (INDIA) LIMITED",0.01,1,"","",0,10,"INE808B01016",7.8,2.8,257.47,1.45,"","","",0,0,0,1.85,1.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","OPTOCIRCUI"
"1153","GLAPHA","EQ","GLAXOSMITHKLINE PHARMACEUTICAL",0.01,1,"","",0,10,"INE159A01016",1487,1227,1936,82.5,"","","",0,0,0,1682.6,1121.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GLAXO"
"11530","ELEMA","EQ","ELECTRONICS MART INDIA LIMITED",0.01,1,"","",0,10,"INE02YR01019",120,61.6,120,61.6,"","","",0,0,0,128.6,105.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","EMIL"
"11531","LUMAUT","BE","LUMAX AUTOMOTIVE SYSTEMS LTD",0.01,1,"","",0,10,"INE547G01019",61.9,28.7,104,11.4,"","","",0,0,0,13.5,12.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LUMAXAUTO"
"11532","ULTCEM","EQ","ULTRATECH CEMENT LIMITED",0.01,1,"","",0,10,"INE481G01011",8499,6005,8499,245.25,"","","",0,0,0,8949.75,7322.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ULTRACEMCO"
"11536","TCS","EQ","TATA CONSULTANCY SERVICES LTD",0.01,1,"","",0,1,"INE467B01029",3575,2926.1,4043,103.84,"","","",0,0,0,3739.9,3059.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TCS"
"11538","HDFM30","EQ","HDFC NIFTY200 MOMENTUM 30 ETF",0.01,1,"","",0,190.61,"INF179KC1DM4",227.2,177.2,227.2,177.2,"","","",0,0,0,261.79,174.52,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCMOMENT"
"11543","NIITEC","EQ","COFORGE LIMITED",0.01,1,"","",0,10,"INE591G01017",5054.85,3210.05,6135,41.5,"","","",0,0,0,5241.75,4288.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COFORGE"
"11547","HDFV30","EQ","HDFC NIFTY100 LOW VOL 30 ETF",0.01,1,"","",0,126.18,"INF179KC1DN2",179.47,124.05,179.47,124.05,"","","",0,0,0,180.56,120.37,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCLOWVOL"
"11549","TEXMAC","EQ","TEXMACO INFRA & HOLDINGS LTD",0.01,1,"","",0,1,"INE435C01024",87.25,47.55,196.5,13.13,"","","",0,0,0,93.8,62.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TEXINFRA"
"11553","GRUFIN","EQ","GRUH FINANCE LIMITED",0.01,1,"","",0,2,"INE580B01029",335.4,204.6,382,1.3,"","","",0,0,0,381.2,254.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GRUH"
"11554","COAPP1","E1","COASTAL CORP. LTD PP RS 225",0.01,1,"","",0,10,"IN9377E01022",0,0,184.95,62,"","","",0,0,0,164.8,109.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COASTPP1"
"1156","GUJLEA","EQ","GUJARAT LEASE FINANCING LIMITE",0.01,1,"","",0,10,"INE540A01017",4.6,2.15,200,0.4,"","","",0,0,0,3.05,2.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GLFL"
